分類,市町村コード,No,都道府県,市区町村名,地域区分,設置主体,運営主体,保育所型認定こども園,設置・運営主体名,名称,郵便番号,住所,建物ビル名,階数,部屋番号等,緯度,経度,電話番号,内線番号,FAX番号,URL,利用定員（2号）,利用定員（3号）,施設長又は代表者,認可・認定年月日（和暦）,認可・認定年月日（西暦）,備考,更新年月日
道内認可保育所,11011,札幌-001,北海道,札幌市中央区,札幌（中）,市町村,市町村,,札幌市,札幌市あけぼの保育園,064-0811,札幌市中央区南11条西10丁目1-3,,,,43.045613,141.343758,011-511-0447,,011-533-6104,,68,22,竹内　佳子,昭和35年3月1日,1960/3/1,,2022/3/15
道内認可保育所,11011,札幌-002,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人救世軍社会事業団,救世軍桑園保育所,060-0005,札幌市中央区北5条西14丁目1-29,,,,43.065506,141.334081,011-221-6630,,011-221-6631,http://www10.ocn.ne.jp/?souen.h/,48,42,岩橋　由,昭和30年12月1日,1955/12/1,,2022/3/15
道内認可保育所,11011,札幌-003,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人北海道社会事業協会,駒鳥保育所,060-0031,札幌市中央区北1条東8丁目1-41,,,,43.065046,141.367978,011-251-9398,,011-398-8585,http://www.hokushakyo.jp/komadori/,51,39,阿部　格也,昭和30年4月1日,1955/4/1,,2022/3/15
道内認可保育所,11011,札幌-004,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人真成福祉会,円山北町保育園,064-0825,札幌市中央区北5条西27丁目3-1,,,,43.063027,141.314815,011-611-4991,,011-631-6766,http://maruyamakitamachi.com/,36,24,成澤　芳幸,昭和45年7月1日,1970/7/1,,2022/3/15
道内認可保育所,11011,札幌-005,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人北海道助産婦福祉会,愛育保育園,064-0807,札幌市中央区南7条西18丁目3-29,,,,43.04939,141.329287,011-551-3247,,011-551-5761,http://www.aiikuen.org/,45,45,後藤　克子,昭和45年10月1日,1970/10/1,,2022/3/15
道内認可保育所,11011,札幌-006,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人徳美会,旭ヶ丘保育園,064-0913,札幌市中央区南13条西23丁目1-40,,,,43.040502,141.324955,011-551-8588,,011-551-2223,,99,81,鈴木　隆二,昭和47年12月1日,1972/12/1,,2022/3/15
道内認可保育所,11011,札幌-007,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人蜂友会,山鼻保育園,064-0912,札幌市中央区南12条西8丁目3-16,,,,43.043669,141.347786,011-511-4612,,011-522-5898,,51,39,川崎　真,昭和49年2月1日,1974/2/1,,2022/3/15
道内認可保育所,11011,札幌-008,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人華園福祉会,山鼻華園保育園,064-0918,札幌市中央区南18条西11丁目1-2,,,,43.036068,141.343435,011-563-6624,,011-563-6645,,87,53,毛利　聡,昭和51年2月1日,1976/2/1,,2022/3/15
道内認可保育所,11011,札幌-009,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人華園福祉会,幌南華園保育園,064-0923,札幌市中央区南23条西10丁目1-25,,,,43.028252,141.345501,011-551-7511,,011-532-1643,,48,42,東　秀明,昭和53年11月1日,1978/11/1,,2022/3/15
道内認可保育所,11011,札幌-010,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人札幌緑の苑,宮の森保育園,064-0952,札幌市中央区宮の森2条5丁目2-20,,,,43.061749,141.309038,011-642-0012,,011-642-0104,,50,20,伏見　達子,昭和55年12月1日,1980/12/1,,2022/3/15
道内認可保育所,11011,札幌-011,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人札幌さより会,さより保育園,064-0804,札幌市中央区南4条西15丁目1-35,,,,43.054168,141.334175,011-561-9696,,011-561-9698,http://www11.ocn.ne.jp/?sayori.h/index.htm,33,27,鈴木　頼子,昭和59年3月1日,1984/3/1,,2022/3/15
道内認可保育所,11011,札幌-012,北海道,札幌市中央区,札幌（中）,市町村,社福,,（指定管理者）社会福祉法人ろうふく会,札幌市大通保育園,060-0041,札幌市中央区大通東4丁目5-1,,,,43.062243,141.362096,011-222-6112,,011-210-0180,,36,24,中川　京子,昭和62年1月1日,1987/1/1,,2022/3/15
道内認可保育所,11011,札幌-013,北海道,札幌市中央区,札幌（中）,市町村,社福,,（指定管理者）社会福祉法人救世軍社会事業団,札幌市しせいかん保育園,060-0063,札幌市中央区南3条西7丁目1-1,,,,43.055474,141.348129,011-204-9560,,011-204-9570,,65,55,安達　津恵子,平成16年4月1日,2004/4/1,,2022/3/15
道内認可保育所,11011,札幌-014,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人つくしの子,つくしの子共同保育所,060-0004,札幌市中央区北4条西14丁目1-25,,,,43.064102,141.334455,011-281-2945,,011-281-1377,http://www005.upp.so-net.ne.jp/tsukushinoko/Site/Welcome.html,30,30,鈴木　理香,平成17年4月1日,2005/4/1,,2022/3/15
道内認可保育所,11011,札幌-015,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人吉田学園福祉会,吉田学園くりの木保育園,060-0011,札幌市中央区北11条西17丁目36-122,,,,43.071528,141.327018,011-676-8332,,011-676-8325,http://www.ans.co.jp/n/yoshida-fukushikai/kurinoki/index.html,63,57,永田　園子,平成22年4月1日,2010/4/1,,2022/3/15
道内認可保育所,11011,札幌-016,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人睦会,こうさい保育園,064-0912,札幌市中央区南12条西16丁目1-5,,,,43.043275,141.334095,011-520-8008,,011-520-8877,http://mutsumikai.jp/kousai/,45,45,吉田　宏美,平成24年4月1日,2012/4/1,,2022/3/15
道内認可保育所,11011,札幌-017,北海道,札幌市中央区,札幌（中）,株式,株式,,アートチャイルドケア株式会社,アートチャイルドケア札幌桑園,060-0005,札幌市中央区北5条西12丁目6-1,,,,43.065172,141.337547,011-231-0125,,011-231-0128,http://www.the0123child.com/personal/area/hokkaido/acc-sapporo-soen.php,30,30,五十嵐　睦,平成26年4月1日,2014/4/1,,2022/3/15
道内認可保育所,11011,札幌-018,北海道,札幌市中央区,札幌（中）,株式,株式,,株式会社日本保育サービス,アスク桑園保育園,060-0008,札幌市中央区北8条西18丁目35-100,,,,43.067785,141.32629,011-640-5828,,011-676-9042,http://www.nihonhoiku.co.jp/facilities/hoikuen/souen/,33,27,丸崎　好美,平成26年4月1日,2014/4/1,,2022/3/15
道内認可保育所,11011,札幌-019,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人高砂福祉会,たかさごナーサリースクール大通公園,060-0041,札幌市中央区大通東2丁目3-1,,,,43.06159,141.359852,011-215-0944,,,http://tnso.tksg.ed.jp/,54,36,行友　瞬,平成26年10月1日,2014/10/1,,2022/3/15
道内認可保育所,11011,札幌-020,北海道,札幌市中央区,札幌（中）,社福,社福,,社会福祉法人札幌慈啓会,啓明ともいき保育園,064-0914,札幌市中央区南14条西18丁目6-5,,,,43.04031,141.3297,011-561-5151,,011-561-5158,,50,40,品田　聡美,平成26年12月1日,2014/12/1,,2022/3/15
